ncand,n_far,is_top1,beats_far,pct_far,margin_far,displacement,d_assigned,L,locus_len,chance,pair
16,11,False,True,0.0,0.030666904092205644,34.0,0.017425596394945706,288,2410,0.08333333333333333,hg38_vs_bosTau9
19,14,False,True,0.0,0.000484975260042618,140.0,0.03493916733303314,248,2361,0.06666666666666667,hg38_vs_bosTau9
6,2,True,True,0.0,0.3458231463304656,0.0,0.06287871735478405,288,988,0.3333333333333333,hg38_vs_bosTau9
28,23,False,True,0.0,0.09346326887092715,16.0,0.025842420112573213,168,2364,0.041666666666666664,hg38_vs_bosTau9
8,3,False,True,0.0,0.04758321267259992,168.0,0.01667051275032425,368,1590,0.25,hg38_vs_bosTau9
18,13,True,True,0.0,0.024407766451414875,0.0,0.01942462133098207,528,4806,0.07142857142857142,hg38_vs_bosTau9
10,5,False,True,0.0,0.2802490154698931,189.0,0.03185274285142056,488,2577,0.16666666666666666,hg38_vs_bosTau9
29,24,False,False,0.08333333333333333,-0.006286556706814134,64.0,0.04556351363843691,208,3064,0.04,hg38_vs_bosTau9
21,16,False,True,0.0,0.017943704250563262,117.0,0.03039724599474586,248,2671,0.058823529411764705,hg38_vs_bosTau9
8,4,True,True,0.0,0.1308196411070905,0.0,0.045073257742680416,408,1644,0.2,hg38_vs_bosTau9
9,4,False,True,0.0,0.03954049753981519,126.0,0.018877897034602582,368,1802,0.2,hg38_vs_bosTau9
52,47,False,False,0.02127659574468085,-0.003550715144631511,2872.0,0.05310678856300379,368,9732,0.020833333333333332,hg38_vs_bosTau9
20,15,False,False,0.2,-0.009244207637113352,574.0,0.07341099485736347,328,3302,0.0625,hg38_vs_bosTau9
6,2,False,True,0.0,0.04643442753458982,48.0,0.06802798108637008,448,1544,0.3333333333333333,hg38_vs_bosTau9
45,40,False,False,0.05,-0.045201308000504425,209.0,0.06982189284235282,168,3783,0.024390243902439025,hg38_vs_bosTau9
25,20,True,True,0.0,0.03406229001539825,0.0,0.020625249293082043,408,5285,0.047619047619047616,hg38_vs_bosTau9
6,1,False,True,0.0,0.09094146722646693,65.0,0.1438915435206547,328,1121,0.5,hg38_vs_bosTau9
25,20,False,True,0.0,0.04215510059150961,6.0,0.034227992775603615,248,3146,0.047619047619047616,hg38_vs_bosTau9
12,7,False,False,0.14285714285714285,-0.0017439919528614012,182.0,0.043882784590521695,328,2058,0.125,hg38_vs_bosTau9
15,10,True,True,0.0,0.15433101468872476,0.0,0.06180802952882245,288,2192,0.09090909090909091,hg38_vs_bosTau9
10,5,True,True,0.0,0.07070017407385884,0.0,0.06855407249547582,208,1118,0.16666666666666666,hg38_vs_bosTau9
19,14,False,True,0.0,0.1349926389927691,160.0,0.08267886732265343,368,3537,0.06666666666666667,hg38_vs_bosTau9
6,1,False,True,0.0,0.07543041462928787,320.0,0.07149309016077551,368,1199,0.5,hg38_vs_bosTau9
12,7,False,False,0.14285714285714285,-0.0007212804812768252,103.0,0.02796842201767095,488,3103,0.125,hg38_vs_bosTau9
8,3,False,True,0.0,0.009913310659893294,343.0,0.03565836317403079,368,1649,0.25,hg38_vs_bosTau9
20,15,True,True,0.0,0.01733861572637789,0.0,0.0747747765584729,128,1308,0.0625,hg38_vs_bosTau9
52,47,False,False,0.10638297872340426,-0.004106090209100952,7156.0,0.038476383523701224,488,12794,0.020833333333333332,hg38_vs_bosTau9
11,7,False,True,0.0,0.04292719565278148,48.0,0.08543789668753458,448,2654,0.125,hg38_vs_bosTau9
13,8,False,False,0.125,-0.0021578160809099176,284.0,0.0558750145243985,248,1631,0.1111111111111111,hg38_vs_bosTau9
58,53,True,True,0.0,0.028872766881869398,0.0,0.01132735469242468,288,8402,0.018518518518518517,hg38_vs_bosTau9
22,17,False,True,0.0,0.009747053247263888,48.0,0.02236211964312962,288,3276,0.05555555555555555,hg38_vs_bosTau9
9,4,False,True,0.0,0.12975383881793512,144.0,0.03374259147588893,288,1577,0.2,hg38_vs_bosTau9
39,34,False,True,0.0,0.015619451615827028,76.0,0.03687748698043687,168,3338,0.02857142857142857,hg38_vs_bosTau9
5,1,False,True,0.0,0.01189137999439998,126.0,0.019055911161029355,728,1942,0.5,hg38_vs_bosTau9
31,26,False,True,0.0,0.009813134767307122,116.0,0.02337611076664694,168,2660,0.037037037037037035,hg38_vs_bosTau9
11,6,True,True,0.0,0.05013233776711685,0.0,0.011181148339669976,328,1951,0.14285714285714285,hg38_vs_bosTau9
12,7,False,True,0.0,0.06194797710201917,40.0,0.020961755961545897,208,1289,0.125,hg38_vs_bosTau9
17,13,False,True,0.0,0.03285398254472202,104.0,0.018043139950903658,648,5668,0.07142857142857142,hg38_vs_bosTau9
16,11,False,False,0.18181818181818182,-0.003292388249326223,1308.0,0.029863511427796006,568,4590,0.08333333333333333,hg38_vs_bosTau9
6,1,True,True,0.0,0.09147546660374203,0.0,0.00921381572927526,528,1668,0.5,hg38_vs_bosTau9
10,5,True,True,0.0,0.027293360602831985,0.0,0.0301932766351409,408,2170,0.16666666666666666,hg38_vs_bosTau9
18,13,True,True,0.0,0.01863969092758295,0.0,0.01462526422999684,288,2654,0.07142857142857142,hg38_vs_bosTau9
12,7,False,False,0.2857142857142857,-0.0016422843933692616,1040.0,0.06255268094952667,528,3242,0.125,hg38_vs_bosTau9
16,11,True,True,0.0,0.12122399628955625,0.0,0.04676018729953928,128,1087,0.08333333333333333,hg38_vs_bosTau9
6,2,False,False,0.5,-0.00032554684633941816,484.0,0.037367111450429945,488,1540,0.3333333333333333,hg38_vs_bosTau9
12,7,False,True,0.0,0.04310326682977785,184.0,0.05260225301770905,328,2087,0.125,hg38_vs_bosTau9
36,31,False,False,0.5161290322580645,-0.04492518756338099,956.0,0.0835767291001323,248,4489,0.03125,hg38_vs_bosTau9
18,13,False,False,0.46153846153846156,-0.007856892521270281,1348.0,0.09231063671587754,328,2988,0.07142857142857142,hg38_vs_bosTau9
17,12,False,False,0.08333333333333333,-0.004197014237074005,125.0,0.046129865497706826,168,1439,0.07692307692307693,hg38_vs_bosTau9
21,16,True,True,0.0,0.009533033522615156,0.0,0.08199591077723764,168,1860,0.058823529411764705,hg38_vs_bosTau9
18,13,False,False,0.6923076923076923,-0.03494368367726263,859.0,0.06720960093561743,208,1891,0.07142857142857142,hg38_vs_bosTau9
7,3,False,True,0.0,0.032594814610965916,505.0,0.014571226759390921,1088,4209,0.25,hg38_vs_bosTau9
7,3,False,False,1.0,-0.04139988304680887,468.0,0.05482730771724302,568,2034,0.25,hg38_vs_bosTau9
17,12,False,False,0.25,-0.008457560547667803,304.0,0.07359300161769554,368,3240,0.07692307692307693,hg38_vs_bosTau9
21,16,False,True,0.0,0.013988542934962662,95.0,0.042443039611391585,208,2265,0.058823529411764705,hg38_vs_bosTau9
24,19,False,True,0.0,0.0180258374123844,40.0,0.016083078040103525,288,3473,0.05,hg38_vs_bosTau9
9,5,False,False,0.6,-0.07071500417335448,326.0,0.08432717129438815,288,1430,0.16666666666666666,hg38_vs_bosTau9
9,4,False,False,0.5,-0.0061470556279645885,720.0,0.02570635755216187,488,2220,0.2,hg38_vs_bosTau9
